,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,57.0,28.0,5.0,2.0
1,41.0,28.0,5.0,4.0
2,22.0,6.0,3.0,3.0
3,71.0,36.0,6.0,5.0
4,86.0,46.0,7.0,6.0
5,69.0,7.0,7.0,2.0
6,65.0,20.0,6.0,2.0
7,52.0,0.0,5.0,0.0
8,0.0,0.0,0.0,0.0
9,70.0,27.0,7.0,4.0
10,71.0,25.0,6.0,3.0
11,80.0,13.0,7.0,3.0
12,65.0,58.0,7.0,7.0
13,95.0,81.0,7.0,7.0
14,15.0,0.0,4.0,0.0
15,38.0,45.0,4.0,6.0
16,49.0,63.0,6.0,7.0
17,47.0,54.0,7.0,5.0
18,55.0,58.0,6.0,7.0
19,79.0,48.0,7.0,7.0
20,44.0,62.0,4.0,7.0
21,29.0,54.0,4.0,6.0
22,62.0,56.0,7.0,6.0
23,46.0,61.0,7.0,7.0
24,182.0,150.0,7.0,7.0
25,175.0,161.0,7.0,7.0
26,138.0,150.0,7.0,7.0
27,96.0,97.0,7.0,7.0
28,144.0,161.0,7.0,7.0
29,161.0,156.0,7.0,7.0
30,163.0,165.0,7.0,7.0
31,175.0,165.0,7.0,7.0
32,158.0,176.0,7.0,7.0
33,160.0,152.0,7.0,7.0
34,181.0,172.0,7.0,7.0
35,146.0,163.0,7.0,7.0
36,36.0,25.0,4.0,3.0
37,52.0,0.0,4.0,0.0
38,134.0,141.0,7.0,7.0
39,78.0,41.0,6.0,4.0
40,32.0,1.0,6.0,1.0
41,62.0,0.0,7.0,0.0
42,21.0,0.0,2.0,0.0
43,14.0,5.0,2.0,2.0
44,30.0,0.0,5.0,0.0
45,33.0,8.0,4.0,2.0
46,42.0,29.0,5.0,4.0
47,31.0,8.0,4.0,3.0
48,11.0,0.0,3.0,0.0
49,13.0,0.0,2.0,0.0
50,0.0,0.0,0.0,0.0
51,50.0,56.0,6.0,6.0
52,0.0,8.0,0.0,1.0
53,7.0,5.0,2.0,1.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,29.0,0.0,4.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,4.0,0.0,1.0,0.0
60,46.0,26.0,7.0,6.0
61,47.0,39.0,7.0,6.0
62,11.0,0.0,3.0,0.0
63,41.0,22.0,7.0,4.0
64,40.0,35.0,6.0,6.0
65,45.0,37.0,6.0,7.0
66,32.0,37.0,5.0,6.0
67,30.0,51.0,5.0,7.0
68,56.0,55.0,7.0,7.0
69,61.0,40.0,7.0,5.0
70,50.0,27.0,6.0,7.0
71,55.0,46.0,6.0,7.0
72,67.0,90.0,5.0,7.0
73,109.0,99.0,7.0,7.0
74,97.0,84.0,7.0,7.0
75,88.0,81.0,6.0,7.0
76,135.0,104.0,7.0,7.0
77,122.0,85.0,6.0,6.0
78,99.0,92.0,7.0,6.0
79,101.0,112.0,7.0,7.0
80,117.0,76.0,7.0,7.0
81,134.0,98.0,7.0,7.0
82,124.0,116.0,7.0,7.0
83,97.0,111.0,7.0,7.0
84,45.0,83.0,4.0,7.0
85,112.0,89.0,7.0,7.0
86,107.0,90.0,7.0,7.0
87,47.0,78.0,6.0,7.0
88,83.0,90.0,7.0,7.0
89,50.0,68.0,6.0,7.0
90,85.0,78.0,7.0,7.0
91,100.0,74.0,7.0,6.0
92,95.0,77.0,7.0,7.0
93,76.0,78.0,7.0,6.0
94,88.0,70.0,7.0,7.0
95,89.0,77.0,7.0,7.0
96,54.0,0.0,6.0,0.0
97,28.0,2.0,5.0,1.0
98,75.0,5.0,7.0,2.0
99,86.0,78.0,7.0,7.0
100,0.0,0.0,0.0,0.0
101,36.0,0.0,6.0,0.0
102,31.0,0.0,4.0,0.0
103,26.0,3.0,5.0,1.0
104,8.0,6.0,2.0,1.0
105,52.0,0.0,5.0,0.0
106,35.0,6.0,7.0,2.0
107,48.0,0.0,6.0,0.0
108,117.0,86.0,7.0,7.0
109,50.0,60.0,7.0,7.0
110,0.0,0.0,0.0,0.0
111,135.0,131.0,7.0,7.0
112,76.0,107.0,7.0,7.0
113,101.0,110.0,7.0,7.0
114,115.0,103.0,7.0,7.0
115,109.0,89.0,7.0,7.0
116,89.0,121.0,7.0,7.0
117,66.0,81.0,5.0,7.0
118,91.0,69.0,7.0,7.0
119,93.0,107.0,7.0,7.0
