,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,21.0,55.0,2.0,6.0
1,17.0,32.0,2.0,4.0
2,7.0,41.0,2.0,6.0
3,126.0,118.0,7.0,7.0
4,20.0,71.0,2.0,6.0
5,18.0,60.0,2.0,7.0
6,47.0,66.0,7.0,7.0
7,25.0,38.0,3.0,3.0
8,25.0,37.0,4.0,3.0
9,17.0,31.0,2.0,4.0
10,20.0,56.0,2.0,5.0
11,33.0,71.0,4.0,6.0
12,81.0,98.0,6.0,7.0
13,135.0,121.0,7.0,7.0
14,42.0,32.0,5.0,5.0
15,101.0,90.0,7.0,7.0
16,108.0,73.0,7.0,6.0
17,80.0,68.0,7.0,7.0
18,86.0,88.0,7.0,7.0
19,54.0,94.0,6.0,7.0
20,89.0,91.0,6.0,7.0
21,82.0,99.0,6.0,7.0
22,68.0,68.0,7.0,7.0
23,80.0,78.0,7.0,7.0
24,17.0,0.0,3.0,0.0
25,15.0,4.0,2.0,1.0
26,66.0,0.0,5.0,0.0
27,41.0,69.0,6.0,7.0
28,30.0,5.0,3.0,2.0
29,15.0,4.0,2.0,1.0
30,34.0,14.0,5.0,3.0
31,30.0,27.0,5.0,5.0
32,10.0,6.0,2.0,2.0
33,52.0,20.0,6.0,4.0
34,19.0,0.0,3.0,0.0
35,34.0,9.0,5.0,2.0
36,119.0,101.0,7.0,7.0
37,86.0,45.0,7.0,5.0
38,91.0,11.0,6.0,2.0
39,130.0,126.0,7.0,7.0
40,130.0,129.0,7.0,7.0
41,153.0,119.0,7.0,7.0
42,139.0,92.0,7.0,7.0
43,145.0,130.0,7.0,7.0
44,152.0,79.0,7.0,7.0
45,125.0,116.0,7.0,6.0
46,118.0,112.0,6.0,7.0
47,148.0,119.0,7.0,7.0
48,132.0,116.0,7.0,7.0
49,99.0,102.0,7.0,7.0
50,38.0,69.0,6.0,7.0
51,9.0,2.0,2.0,1.0
52,118.0,134.0,7.0,7.0
53,92.0,108.0,7.0,7.0
54,118.0,106.0,7.0,7.0
55,90.0,102.0,7.0,7.0
56,80.0,127.0,7.0,7.0
57,87.0,51.0,7.0,7.0
58,78.0,96.0,5.0,7.0
59,131.0,121.0,7.0,7.0
60,0.0,2.0,0.0,1.0
61,0.0,0.0,0.0,0.0
62,25.0,38.0,5.0,4.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,7.0,0.0,1.0
72,29.0,33.0,5.0,6.0
73,41.0,41.0,6.0,5.0
74,97.0,85.0,7.0,7.0
75,53.0,73.0,7.0,7.0
76,12.0,11.0,3.0,4.0
77,24.0,39.0,6.0,7.0
78,13.0,47.0,4.0,7.0
79,34.0,40.0,6.0,7.0
80,31.0,32.0,5.0,6.0
81,50.0,19.0,7.0,5.0
82,52.0,31.0,7.0,6.0
83,57.0,47.0,6.0,7.0
84,82.0,102.0,7.0,7.0
85,37.0,50.0,5.0,7.0
86,33.0,67.0,5.0,7.0
87,123.0,113.0,7.0,6.0
88,103.0,105.0,7.0,7.0
89,102.0,101.0,7.0,7.0
90,102.0,108.0,7.0,7.0
91,110.0,104.0,7.0,7.0
92,113.0,109.0,7.0,7.0
93,96.0,103.0,7.0,6.0
94,117.0,97.0,7.0,7.0
95,125.0,120.0,7.0,7.0
96,81.0,106.0,5.0,7.0
97,88.0,117.0,5.0,7.0
98,31.0,49.0,4.0,7.0
99,37.0,70.0,3.0,6.0
100,87.0,126.0,5.0,7.0
101,82.0,121.0,4.0,7.0
102,58.0,114.0,3.0,7.0
103,115.0,109.0,6.0,7.0
104,87.0,107.0,5.0,6.0
105,81.0,112.0,4.0,7.0
106,92.0,139.0,5.0,7.0
107,67.0,134.0,4.0,7.0
108,3.0,0.0,1.0,0.0
109,97.0,65.0,7.0,7.0
110,51.0,41.0,7.0,6.0
111,2.0,0.0,1.0,0.0
112,21.0,3.0,4.0,2.0
113,9.0,18.0,2.0,3.0
114,16.0,0.0,2.0,0.0
115,19.0,8.0,5.0,2.0
116,25.0,8.0,3.0,2.0
117,18.0,7.0,3.0,2.0
118,5.0,0.0,1.0,0.0
119,22.0,14.0,6.0,3.0
