,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,139.0,146.0,7.0,7.0
1,125.0,131.0,7.0,7.0
2,127.0,142.0,7.0,7.0
3,53.0,77.0,5.0,7.0
4,117.0,126.0,7.0,7.0
5,134.0,130.0,7.0,7.0
6,141.0,156.0,7.0,7.0
7,151.0,149.0,7.0,7.0
8,116.0,145.0,7.0,7.0
9,127.0,125.0,7.0,7.0
10,141.0,131.0,7.0,7.0
11,144.0,141.0,7.0,7.0
12,44.0,81.0,5.0,7.0
13,52.0,68.0,5.0,5.0
14,111.0,137.0,7.0,7.0
15,55.0,49.0,5.0,5.0
16,51.0,62.0,6.0,5.0
17,56.0,79.0,4.0,7.0
18,79.0,79.0,6.0,6.0
19,79.0,75.0,5.0,7.0
20,40.0,82.0,5.0,7.0
21,58.0,54.0,5.0,6.0
22,35.0,70.0,5.0,7.0
23,24.0,74.0,4.0,7.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,22.0,11.0,4.0,3.0
28,0.0,0.0,0.0,0.0
29,3.0,3.0,1.0,1.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,5.0,0.0,2.0,0.0
35,5.0,0.0,1.0,0.0
36,27.0,18.0,7.0,5.0
37,35.0,36.0,5.0,6.0
38,6.0,0.0,1.0,0.0
39,20.0,9.0,4.0,2.0
40,21.0,23.0,4.0,4.0
41,24.0,26.0,4.0,6.0
42,17.0,24.0,3.0,6.0
43,31.0,27.0,6.0,7.0
44,22.0,33.0,4.0,7.0
45,33.0,24.0,6.0,4.0
46,15.0,38.0,3.0,7.0
47,27.0,16.0,5.0,4.0
48,134.0,94.0,7.0,7.0
49,122.0,107.0,7.0,7.0
50,122.0,80.0,7.0,7.0
51,74.0,25.0,7.0,5.0
52,108.0,76.0,7.0,6.0
53,112.0,93.0,7.0,7.0
54,116.0,72.0,7.0,6.0
55,125.0,81.0,7.0,7.0
56,108.0,97.0,7.0,7.0
57,88.0,77.0,7.0,7.0
58,122.0,90.0,7.0,7.0
59,115.0,78.0,7.0,7.0
60,0.0,0.0,0.0,0.0
61,12.0,0.0,1.0,0.0
62,89.0,30.0,7.0,4.0
63,74.0,3.0,6.0,1.0
64,22.0,0.0,3.0,0.0
65,10.0,0.0,1.0,0.0
66,21.0,0.0,3.0,0.0
67,20.0,0.0,3.0,0.0
68,21.0,0.0,2.0,0.0
69,26.0,0.0,3.0,0.0
70,4.0,0.0,1.0,0.0
71,23.0,1.0,4.0,1.0
72,48.0,45.0,6.0,7.0
73,47.0,59.0,6.0,7.0
74,28.0,50.0,6.0,7.0
75,14.0,27.0,2.0,7.0
76,13.0,31.0,3.0,4.0
77,59.0,59.0,7.0,7.0
78,46.0,64.0,6.0,7.0
79,38.0,58.0,6.0,7.0
80,44.0,61.0,6.0,7.0
81,48.0,31.0,6.0,5.0
82,48.0,55.0,7.0,7.0
83,56.0,50.0,7.0,7.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,43.0,45.0,7.0,6.0
87,14.0,17.0,4.0,3.0
88,14.0,7.0,3.0,1.0
89,0.0,8.0,0.0,2.0
90,0.0,7.0,0.0,2.0
91,0.0,0.0,0.0,0.0
92,2.0,0.0,1.0,0.0
93,5.0,0.0,1.0,0.0
94,1.0,0.0,1.0,0.0
95,3.0,0.0,2.0,0.0
96,77.0,12.0,6.0,3.0
97,71.0,29.0,5.0,4.0
98,93.0,43.0,6.0,5.0
99,142.0,83.0,7.0,7.0
100,86.0,41.0,7.0,4.0
101,76.0,8.0,7.0,2.0
102,64.0,11.0,7.0,2.0
103,62.0,12.0,6.0,2.0
104,95.0,4.0,7.0,1.0
105,77.0,0.0,6.0,0.0
106,69.0,14.0,6.0,2.0
107,79.0,13.0,7.0,2.0
108,127.0,100.0,7.0,7.0
109,136.0,110.0,7.0,7.0
110,84.0,40.0,7.0,6.0
111,121.0,116.0,7.0,7.0
112,125.0,105.0,7.0,7.0
113,115.0,91.0,7.0,7.0
114,134.0,115.0,7.0,7.0
115,118.0,125.0,7.0,7.0
116,145.0,108.0,7.0,7.0
117,102.0,101.0,7.0,6.0
118,122.0,107.0,7.0,7.0
119,117.0,116.0,7.0,7.0
