"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"09/23/2021 21:30:09:800 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"62","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","125","6","7","29","29","23","18","19","0"
"53","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","176","7","18","12","25","24","34","31","32"
"64","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","81","7","12","17","13","22","2","10","5"
"63","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","130","6","0","33","18","22","19","31","7"
"56","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","130","7","15","23","8","11","26","26","21"
"55","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","178","7","16","22","28","32","25","33","22"
"58","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","184","7","15","20","29","21","35","30","34"
"59","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","200","7","25","35","32","28","32","31","17"
"60","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","175","7","24","29","23","24","33","20","22"
"65","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","100","6","0","20","19","6","13","16","26"
"66","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","102","7","18","13","20","14","22","14","1"
"57","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","165","7","24","20","26","25","27","25","18"
"67","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","137","7","17","32","34","10","9","22","13"
"70","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","68","6","19","18","4","8","2","17","0"
"68","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","124","7","8","28","20","17","17","22","12"
"69","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","78","6","0","17","19","10","15","10","7"
"72","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","155","7","12","32","26","16","17","28","24"
"73","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","131","7","17","16","22","15","16","26","19"
"71","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","164","7","21","22","17","21","19","41","23"
"76","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","110","7","23","9","9","6","11","31","21"
"77","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","112","6","0","33","21","11","19","18","10"
"79","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","100","6","0","24","17","16","11","10","22"
"74","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","139","7","15","20","23","24","12","20","25"
"75","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","98","7","16","22","15","21","7","10","7"
"78","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","113","7","9","32","21","7","7","23","14"
"80","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","136","7","31","21","28","27","1","14","14"
"81","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","266","7","31","33","42","47","48","26","39"
"84","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","268","7","50","36","41","30","33","42","36"
"86","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","262","7","41","38","39","27","37","48","32"
"82","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","285","7","43","39","36","33","46","44","44"
"83","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","293","7","36","46","38","43","34","54","42"
