,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor,mean_newts_buffer,mean_ponds_buffer,mean_newts_corridor,mean_ponds_corridor
0,4.0,6.0,1.0,1.0,4.909090909090909,1.0,13.818181818181818,2.727272727272727
1,46.0,29.0,6.0,5.0,38.18181818181818,6.0,34.90909090909091,5.363636363636363
2,9.0,0.0,2.0,0.0,11.454545454545455,2.0,3.6363636363636362,0.6363636363636364
3,27.0,2.0,4.0,1.0,21.90909090909091,4.7272727272727275,10.818181818181818,2.1818181818181817
4,39.0,12.0,5.0,2.0,28.545454545454547,5.545454545454546,10.090909090909092,1.7272727272727273
5,33.0,13.0,5.0,3.0,28.90909090909091,5.0,20.545454545454547,4.363636363636363
6,29.0,6.0,6.0,1.0,31.454545454545453,6.090909090909091,12.090909090909092,2.3636363636363638
7,17.0,13.0,4.0,3.0,20.636363636363637,4.0,16.272727272727273,3.3636363636363638
8,10.0,0.0,3.0,0.0,8.909090909090908,2.090909090909091,3.6363636363636362,0.6363636363636364
9,51.0,22.0,6.0,4.0,42.09090909090909,6.0,21.09090909090909,3.909090909090909
10,0.0,14.0,0.0,3.0,2.1818181818181817,0.6363636363636364,16.636363636363637,4.0
11,26.0,33.0,5.0,6.0,30.181818181818183,5.0,30.454545454545453,5.636363636363637
12,37.0,10.0,6.0,2.0,33.36363636363637,6.0,19.09090909090909,3.8181818181818183
13,9.0,15.0,2.0,2.0,16.727272727272727,3.1818181818181817,15.090909090909092,3.3636363636363638
14,19.0,12.0,2.0,2.0,17.09090909090909,3.3636363636363638,15.090909090909092,2.4545454545454546
15,26.0,0.0,6.0,0.0,27.818181818181817,6.2727272727272725,5.0,1.0909090909090908
16,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
17,13.0,0.0,2.0,0.0,17.545454545454547,3.0,3.6363636363636362,0.6363636363636364
18,85.0,94.0,7.0,7.0,101.54545454545455,7.0,87.27272727272727,7.0
19,14.0,0.0,2.0,0.0,14.090909090909092,2.272727272727273,3.6363636363636362,0.6363636363636364
20,66.0,0.0,7.0,0.0,63.63636363636363,7.0,3.6363636363636362,0.6363636363636364
21,18.0,0.0,2.0,0.0,15.0,2.0,3.6363636363636362,0.6363636363636364
22,5.0,0.0,1.0,0.0,7.363636363636363,2.272727272727273,3.6363636363636362,0.6363636363636364
23,5.0,0.0,1.0,0.0,6.2727272727272725,1.2727272727272727,3.6363636363636362,0.6363636363636364
24,103.0,78.0,7.0,6.0,107.0909090909091,7.0,66.36363636363636,6.090909090909091
25,48.0,0.0,5.0,0.0,54.0,5.0,3.6363636363636362,0.6363636363636364
26,121.0,81.0,7.0,7.0,131.1818181818182,7.0,95.63636363636364,7.0
27,133.0,89.0,7.0,7.0,118.9090909090909,7.0,97.45454545454545,7.0
28,118.0,88.0,7.0,6.0,128.27272727272728,7.0,92.54545454545455,6.090909090909091
29,121.0,87.0,7.0,7.0,120.72727272727273,7.0,91.9090909090909,7.0
30,102.0,95.0,6.0,7.0,111.63636363636364,6.0,91.0,6.909090909090909
31,128.0,84.0,7.0,7.0,126.27272727272727,7.0,98.9090909090909,7.0
32,148.0,119.0,7.0,7.0,139.63636363636363,7.0,120.63636363636364,7.0
33,161.0,131.0,7.0,7.0,158.1818181818182,7.0,132.45454545454547,7.0
34,119.0,74.0,7.0,5.0,127.81818181818181,7.0,72.0909090909091,5.181818181818182
35,134.0,106.0,7.0,7.0,134.27272727272728,7.0,107.18181818181819,7.0
36,124.0,132.0,7.0,7.0,140.0,7.0,118.0,7.0
37,142.0,117.0,7.0,7.0,137.0,7.0,111.36363636363636,7.0
38,149.0,122.0,7.0,7.0,145.45454545454547,7.0,113.63636363636364,7.0
39,149.0,106.0,7.0,7.0,141.72727272727272,7.0,114.63636363636364,7.0
40,107.0,35.0,7.0,4.0,86.63636363636364,7.0,32.54545454545455,4.2727272727272725
41,144.0,79.0,7.0,7.0,142.36363636363637,7.0,80.0,7.0
42,127.0,107.0,7.0,7.0,129.0,7.0,87.54545454545455,7.0
43,101.0,55.0,7.0,7.0,98.0909090909091,7.0,57.27272727272727,6.545454545454546
44,126.0,88.0,7.0,7.0,136.63636363636363,7.0,83.36363636363636,6.545454545454546
45,92.0,41.0,7.0,5.0,94.45454545454545,7.0,49.36363636363637,6.363636363636363
46,121.0,55.0,7.0,5.0,124.9090909090909,7.0,46.45454545454545,5.818181818181818
47,106.0,21.0,7.0,3.0,105.36363636363636,7.0,42.81818181818182,4.818181818181818
48,6.0,0.0,1.0,0.0,5.363636363636363,1.0,5.818181818181818,1.2727272727272727
49,1.0,0.0,1.0,0.0,11.272727272727273,1.8181818181818181,3.6363636363636362,0.6363636363636364
50,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
51,9.0,0.0,2.0,0.0,15.181818181818182,2.909090909090909,5.2727272727272725,1.0909090909090908
52,0.0,5.0,0.0,1.0,0.0,0.0,8.636363636363637,1.5454545454545454
53,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
54,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
55,0.0,8.0,0.0,1.0,2.3636363636363638,0.7272727272727273,7.0,1.7272727272727273
56,8.0,0.0,2.0,0.0,6.909090909090909,2.090909090909091,3.6363636363636362,0.6363636363636364
57,53.0,0.0,6.0,0.0,48.54545454545455,6.090909090909091,7.545454545454546,1.3636363636363635
58,10.0,0.0,1.0,0.0,7.090909090909091,1.0,3.6363636363636362,0.6363636363636364
