,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor,mean_newts_buffer,mean_ponds_buffer,mean_newts_corridor,mean_ponds_corridor
0,23.0,15.0,5.0,2.0,25.727272727272727,5.363636363636363,12.818181818181818,2.5454545454545454
1,155.0,96.0,7.0,7.0,130.72727272727272,7.0,106.63636363636364,7.0
2,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
3,9.0,27.0,2.0,5.0,18.272727272727273,3.6363636363636362,23.454545454545453,4.7272727272727275
4,9.0,1.0,3.0,1.0,11.090909090909092,2.090909090909091,7.909090909090909,1.5454545454545454
5,26.0,7.0,6.0,1.0,26.90909090909091,5.636363636363637,9.545454545454545,1.7272727272727273
6,10.0,5.0,3.0,1.0,14.545454545454545,3.6363636363636362,14.272727272727273,2.8181818181818183
7,24.0,7.0,4.0,2.0,19.454545454545453,3.8181818181818183,10.909090909090908,2.4545454545454546
8,6.0,0.0,1.0,0.0,4.090909090909091,1.0,3.6363636363636362,0.6363636363636364
9,111.0,76.0,7.0,6.0,105.0909090909091,7.0,72.18181818181819,6.363636363636363
10,0.0,0.0,0.0,0.0,1.9090909090909092,0.5454545454545454,3.6363636363636362,0.6363636363636364
11,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
12,20.0,0.0,2.0,0.0,22.90909090909091,2.727272727272727,3.6363636363636362,0.6363636363636364
13,5.0,0.0,1.0,0.0,5.363636363636363,1.0,3.6363636363636362,0.6363636363636364
14,14.0,0.0,3.0,0.0,17.454545454545453,2.6363636363636362,3.6363636363636362,0.6363636363636364
15,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
16,77.0,0.0,7.0,0.0,69.72727272727273,6.545454545454546,9.363636363636363,1.4545454545454546
17,23.0,12.0,3.0,2.0,30.09090909090909,3.5454545454545454,18.363636363636363,2.4545454545454546
18,100.0,14.0,7.0,3.0,95.18181818181819,7.0,27.181818181818183,3.909090909090909
19,81.0,22.0,7.0,3.0,69.54545454545455,6.7272727272727275,23.545454545454547,3.3636363636363638
20,25.0,5.0,2.0,1.0,22.727272727272727,3.0,13.181818181818182,1.5454545454545454
21,80.0,38.0,7.0,5.0,81.0909090909091,7.0,31.454545454545453,5.181818181818182
22,59.0,8.0,5.0,1.0,54.63636363636363,5.0,8.727272727272727,1.5454545454545454
23,63.0,21.0,7.0,5.0,69.0909090909091,7.0,29.545454545454547,4.7272727272727275
24,65.0,42.0,6.0,3.0,56.54545454545455,6.0,28.454545454545453,3.3636363636363638
25,48.0,8.0,5.0,2.0,43.09090909090909,5.0,19.90909090909091,2.727272727272727
26,33.0,32.0,4.0,4.0,35.0,4.454545454545454,27.545454545454547,4.2727272727272725
27,46.0,35.0,5.0,5.0,44.45454545454545,5.0,42.63636363636363,5.181818181818182
28,42.0,22.0,5.0,3.0,43.72727272727273,5.454545454545454,26.545454545454547,3.3636363636363638
29,62.0,20.0,6.0,3.0,51.90909090909091,6.363636363636363,29.90909090909091,4.363636363636363
30,32.0,19.0,3.0,2.0,27.818181818181817,3.3636363636363638,21.272727272727273,3.5454545454545454
31,23.0,31.0,3.0,5.0,18.727272727272727,3.0,42.45454545454545,5.181818181818182
32,62.0,35.0,6.0,3.0,78.45454545454545,6.7272727272727275,42.0,3.3636363636363638
33,15.0,5.0,4.0,1.0,20.181818181818183,4.0,6.818181818181818,1.5454545454545454
34,118.0,110.0,7.0,7.0,119.81818181818181,7.0,91.36363636363636,7.0
35,109.0,87.0,7.0,6.0,119.9090909090909,7.0,78.72727272727273,6.090909090909091
36,84.0,40.0,5.0,4.0,70.18181818181819,5.0,36.18181818181818,4.2727272727272725
37,99.0,47.0,7.0,5.0,103.9090909090909,7.0,47.27272727272727,5.181818181818182
38,98.0,80.0,7.0,7.0,112.36363636363636,7.0,73.81818181818181,6.545454545454546
39,127.0,42.0,7.0,4.0,116.18181818181819,7.0,50.63636363636363,4.7272727272727275
40,152.0,106.0,7.0,7.0,131.63636363636363,7.0,109.18181818181819,7.0
41,41.0,36.0,7.0,6.0,41.27272727272727,7.0,31.0,5.636363636363637
42,29.0,36.0,5.0,6.0,32.90909090909091,5.0,32.27272727272727,6.363636363636363
43,48.0,18.0,7.0,4.0,46.36363636363637,6.909090909090909,24.818181818181817,5.0
44,49.0,25.0,7.0,7.0,46.27272727272727,7.0,25.545454545454547,5.2727272727272725
45,24.0,27.0,4.0,5.0,26.727272727272727,4.0,28.272727272727273,5.181818181818182
46,38.0,31.0,7.0,6.0,46.90909090909091,7.0,40.0,6.909090909090909
47,29.0,32.0,6.0,7.0,30.09090909090909,6.454545454545454,41.18181818181818,7.0
48,19.0,8.0,3.0,2.0,26.0,4.181818181818182,8.909090909090908,1.6363636363636365
49,50.0,18.0,7.0,2.0,59.45454545454545,7.0,14.545454545454545,2.4545454545454546
50,42.0,16.0,6.0,3.0,45.09090909090909,6.090909090909091,14.545454545454545,2.5454545454545454
51,23.0,0.0,3.0,0.0,20.272727272727273,3.0,3.6363636363636362,0.6363636363636364
52,29.0,11.0,4.0,3.0,33.18181818181818,4.636363636363637,13.454545454545455,2.909090909090909
53,46.0,3.0,7.0,1.0,49.63636363636363,6.818181818181818,10.272727272727273,2.3636363636363638
54,22.0,0.0,3.0,0.0,22.818181818181817,3.5454545454545454,3.6363636363636362,0.6363636363636364
55,44.0,9.0,7.0,1.0,48.45454545454545,7.0,10.363636363636363,2.1818181818181817
56,15.0,6.0,3.0,1.0,10.272727272727273,2.090909090909091,9.818181818181818,1.5454545454545454
57,49.0,13.0,6.0,1.0,63.36363636363637,6.0,9.727272727272727,1.5454545454545454
58,74.0,27.0,6.0,3.0,78.0,6.0,34.0,3.8181818181818183
