,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor,mean_newts_buffer,mean_ponds_buffer,mean_newts_corridor,mean_ponds_corridor
0,7.0,0.0,1.0,0.0,4.0,1.0,3.6363636363636362,0.6363636363636364
1,45.0,28.0,5.0,4.0,64.36363636363636,5.0,31.09090909090909,5.090909090909091
2,14.0,27.0,4.0,4.0,27.636363636363637,4.454545454545454,18.454545454545453,4.2727272727272725
3,17.0,18.0,3.0,3.0,20.90909090909091,3.909090909090909,17.09090909090909,3.6363636363636362
4,14.0,7.0,2.0,2.0,15.727272727272727,3.090909090909091,11.454545454545455,2.4545454545454546
5,12.0,0.0,2.0,0.0,9.545454545454545,2.0,3.6363636363636362,0.6363636363636364
6,8.0,11.0,1.0,2.0,4.7272727272727275,1.0,12.0,2.4545454545454546
7,18.0,3.0,3.0,1.0,20.727272727272727,3.727272727272727,6.636363636363637,1.5454545454545454
8,16.0,11.0,4.0,3.0,21.545454545454547,4.0,18.727272727272727,3.3636363636363638
9,108.0,86.0,7.0,6.0,99.9090909090909,7.0,79.72727272727273,6.090909090909091
10,102.0,78.0,7.0,6.0,99.81818181818181,7.0,66.27272727272727,6.090909090909091
11,105.0,99.0,6.0,7.0,97.27272727272727,6.0,103.81818181818181,6.909090909090909
12,129.0,108.0,7.0,7.0,123.18181818181819,7.0,95.81818181818181,7.0
13,108.0,88.0,7.0,7.0,120.81818181818181,7.0,105.27272727272727,7.0
14,109.0,103.0,7.0,7.0,121.0,7.0,96.54545454545455,7.0
15,98.0,105.0,6.0,7.0,102.63636363636364,6.0,102.45454545454545,7.0
16,6.0,0.0,2.0,0.0,10.0,2.0,7.909090909090909,1.5454545454545454
17,8.0,0.0,2.0,0.0,5.0,1.1818181818181819,3.6363636363636362,0.6363636363636364
18,24.0,35.0,4.0,5.0,20.90909090909091,3.8181818181818183,38.0,5.181818181818182
19,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
20,10.0,6.0,3.0,1.0,16.454545454545453,2.090909090909091,8.454545454545455,1.8181818181818181
21,0.0,21.0,0.0,2.0,2.0,0.36363636363636365,14.545454545454545,2.4545454545454546
22,23.0,0.0,3.0,0.0,16.90909090909091,2.272727272727273,3.6363636363636362,0.6363636363636364
23,7.0,7.0,2.0,1.0,10.909090909090908,2.0,10.636363636363637,1.5454545454545454
24,22.0,0.0,4.0,0.0,22.181818181818183,4.0,4.454545454545454,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
26,10.0,4.0,3.0,1.0,13.272727272727273,2.4545454545454546,8.545454545454545,1.6363636363636365
27,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
28,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
29,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
30,5.0,0.0,1.0,0.0,5.181818181818182,1.0,3.6363636363636362,0.6363636363636364
31,2.0,0.0,1.0,0.0,2.909090909090909,1.0,3.6363636363636362,0.6363636363636364
32,90.0,55.0,7.0,6.0,116.72727272727273,7.0,61.72727272727273,6.454545454545454
33,80.0,40.0,7.0,5.0,76.36363636363636,7.0,33.81818181818182,5.2727272727272725
34,35.0,0.0,6.0,0.0,39.54545454545455,5.454545454545454,3.6363636363636362,0.6363636363636364
35,143.0,93.0,7.0,7.0,144.0909090909091,7.0,96.27272727272727,7.0
36,108.0,94.0,7.0,7.0,118.54545454545455,7.0,100.81818181818181,7.0
37,151.0,103.0,7.0,6.0,138.8181818181818,7.0,102.45454545454545,6.090909090909091
38,124.0,99.0,7.0,7.0,106.36363636363636,7.0,90.0,6.363636363636363
39,144.0,109.0,7.0,7.0,137.9090909090909,7.0,95.0909090909091,7.0
40,16.0,4.0,2.0,1.0,19.90909090909091,2.5454545454545454,10.090909090909092,1.5454545454545454
41,75.0,74.0,7.0,6.0,77.63636363636364,7.0,65.45454545454545,6.7272727272727275
42,7.0,0.0,1.0,0.0,4.454545454545454,1.0,3.6363636363636362,0.6363636363636364
