,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor,mean_newts_buffer,mean_ponds_buffer,mean_newts_corridor,mean_ponds_corridor
0,22.0,8.0,6.0,2.0,28.90909090909091,5.181818181818182,13.363636363636363,2.5454545454545454
1,105.0,102.0,7.0,7.0,94.45454545454545,7.0,80.54545454545455,7.0
2,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
3,36.0,27.0,7.0,4.0,41.09090909090909,7.0,22.818181818181817,4.2727272727272725
4,17.0,20.0,2.0,4.0,13.545454545454545,2.272727272727273,16.181818181818183,3.6363636363636362
5,21.0,24.0,3.0,4.0,14.181818181818182,2.909090909090909,20.636363636363637,3.8181818181818183
6,32.0,30.0,5.0,5.0,31.636363636363637,5.2727272727272725,26.545454545454547,4.7272727272727275
7,32.0,25.0,4.0,5.0,24.0,4.0,27.181818181818183,5.181818181818182
8,0.0,0.0,0.0,0.0,2.1818181818181817,0.9090909090909091,3.6363636363636362,0.6363636363636364
9,85.0,61.0,7.0,6.0,90.45454545454545,7.0,58.63636363636363,6.090909090909091
10,0.0,0.0,0.0,0.0,1.3636363636363635,0.45454545454545453,3.6363636363636362,0.6363636363636364
11,13.0,0.0,3.0,0.0,17.0,3.0,11.181818181818182,2.0
12,12.0,17.0,3.0,3.0,15.545454545454545,3.090909090909091,16.363636363636363,3.3636363636363638
13,2.0,12.0,1.0,2.0,4.545454545454546,1.4545454545454546,13.454545454545455,2.4545454545454546
14,35.0,4.0,4.0,1.0,32.90909090909091,4.545454545454546,7.545454545454546,1.5454545454545454
15,10.0,11.0,2.0,2.0,12.0,2.909090909090909,13.0,2.4545454545454546
16,28.0,49.0,4.0,6.0,32.45454545454545,4.636363636363637,46.45454545454545,6.818181818181818
17,118.0,108.0,7.0,7.0,101.36363636363636,7.0,105.45454545454545,7.0
18,76.0,64.0,7.0,6.0,86.54545454545455,7.0,68.36363636363636,6.090909090909091
19,6.0,0.0,2.0,0.0,13.727272727272727,2.090909090909091,4.7272727272727275,0.9090909090909091
20,77.0,32.0,6.0,7.0,78.18181818181819,6.454545454545454,44.72727272727273,6.7272727272727275
21,39.0,45.0,6.0,4.0,41.81818181818182,5.7272727272727275,33.90909090909091,4.545454545454546
22,52.0,16.0,5.0,2.0,41.72727272727273,5.0,21.636363636363637,2.4545454545454546
23,48.0,46.0,6.0,6.0,53.0,6.0,65.0,7.0
24,104.0,24.0,7.0,2.0,89.0909090909091,7.0,19.636363636363637,2.909090909090909
25,93.0,0.0,7.0,0.0,107.0909090909091,7.0,5.0,1.1818181818181819
26,141.0,121.0,7.0,7.0,161.72727272727272,7.0,128.54545454545453,7.0
27,90.0,105.0,5.0,7.0,72.45454545454545,5.090909090909091,95.0,7.0
28,113.0,87.0,6.0,5.0,131.54545454545453,6.0,79.0,5.818181818181818
29,153.0,110.0,7.0,7.0,149.9090909090909,7.0,104.9090909090909,7.0
30,129.0,54.0,7.0,4.0,136.72727272727272,7.0,50.90909090909091,4.2727272727272725
31,124.0,113.0,7.0,6.0,147.0,7.0,91.72727272727273,6.090909090909091
32,137.0,63.0,7.0,5.0,114.0,7.0,60.36363636363637,5.090909090909091
33,115.0,79.0,7.0,6.0,119.0909090909091,7.0,86.63636363636364,6.818181818181818
34,148.0,128.0,7.0,7.0,136.9090909090909,7.0,104.72727272727273,7.0
35,115.0,78.0,7.0,7.0,113.45454545454545,7.0,88.27272727272727,7.0
36,124.0,43.0,7.0,4.0,119.45454545454545,7.0,43.45454545454545,4.181818181818182
37,125.0,95.0,7.0,7.0,128.1818181818182,7.0,68.81818181818181,7.0
38,119.0,71.0,7.0,6.0,117.45454545454545,7.0,73.45454545454545,6.363636363636363
39,114.0,38.0,7.0,5.0,119.45454545454545,7.0,55.45454545454545,5.2727272727272725
40,146.0,152.0,7.0,7.0,142.63636363636363,7.0,119.72727272727273,7.0
41,139.0,100.0,7.0,7.0,127.63636363636364,7.0,97.36363636363636,7.0
42,149.0,102.0,7.0,7.0,142.0909090909091,7.0,118.18181818181819,7.0
