"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"10/25/2021 17:59:42:969 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","number-of-startind","movement-in-forest","max-timesteps","current-scenario","cropland-movement-cost","angle-for-viewing-ponds-and-woodland","woodland-movement-cost","mortality-decrease-with-buffer","distance-for-viewing-ponds-and-woodland","movement-energy","one-pond-without-starting-newts","both-scenarios","mean-number-of-female-offspring","mean-adult-mortality-prob","[step]","newts-buffer","newts-corridor","newts-corridor-pond1","newts-buffer-pond1","occupied-ponds-corridor","occupied-ponds-buffer"
"46","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","75","57","3","10","7","7"
"47","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","40","56","12","3","7","5"
"49","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","50","63","9","8","7","6"
"48","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","67","69","15","11","7","7"
"51","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","63","54","11","9","6","7"
"50","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","74","59","8","8","7","7"
"54","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","65","55","8","14","7","6"
"53","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","62","58","6","0","7","6"
"52","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","63","68","6","8","7","7"
"55","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","69","46","7","12","6","7"
"59","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","57","71","14","16","7","6"
"56","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","47","71","10","4","7","6"
"57","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","73","75","11","10","7","7"
"58","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","65","60","6","12","7","7"
"60","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","41","58","4","0","7","6"
"62","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","37","62","11","0","7","5"
"61","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","70","46","11","10","5","6"
"63","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","51","47","5","12","7","6"
"66","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","45","68","10","4","7","5"
"64","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","72","67","10","10","7","7"
"65","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","49","68","4","0","7","5"
"67","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","44","68","1","0","7","5"
"69","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","64","65","8","0","6","6"
"68","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","48","46","9","9","5","6"
"70","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","66","57","0","7","6","7"
"71","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","69","46","10","11","7","7"
"72","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","58","45","5","9","5","7"
"75","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","47","76","10","0","7","5"
"73","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","56","53","6","9","7","6"
"74","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","57","62","7","9","7","6"
"76","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","50","74","14","9","7","6"
"77","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","63","44","0","0","6","6"
"81","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","61","26","0","14","4","7"
"78","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","56","62","13","10","7","6"
"79","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","25","64","7","0","7","4"
"83","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","51","41","8","11","6","6"
"80","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","4","700","false","true","5","0.2","99","47","65","9","5","7","7"
"84","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","62","54","13","12","6","6"
"82","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","56","40","11","10","7","6"
"86","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","49","50","0","5","6","7"
"89","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","49","54","8","5","6","7"
