,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,0.0,0.0,0.0,0.0
1,3.0,0.0,1.0,0.0
2,10.0,0.0,2.0,0.0
3,0.0,0.0,0.0,0.0
4,5.0,0.0,1.0,0.0
5,7.0,0.0,1.0,0.0
6,15.0,0.0,2.0,0.0
7,1.0,0.0,1.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,13.0,0.0,4.0
10,0.0,0.0,0.0,0.0
11,11.0,0.0,3.0,0.0
12,0.0,0.0,0.0,0.0
13,7.0,0.0,2.0,0.0
14,24.0,57.0,3.0,6.0
15,4.0,0.0,1.0,0.0
16,28.0,0.0,4.0,0.0
17,11.0,0.0,1.0,0.0
18,10.0,16.0,2.0,4.0
19,23.0,0.0,3.0,0.0
20,11.0,0.0,2.0,0.0
21,4.0,22.0,1.0,4.0
22,13.0,0.0,2.0,0.0
23,11.0,0.0,1.0,0.0
24,125.0,91.0,7.0,7.0
25,121.0,113.0,7.0,7.0
26,153.0,164.0,7.0,7.0
27,115.0,90.0,7.0,7.0
28,120.0,117.0,7.0,7.0
29,142.0,94.0,7.0,7.0
30,78.0,116.0,7.0,7.0
31,129.0,102.0,7.0,7.0
32,125.0,114.0,7.0,7.0
33,86.0,83.0,7.0,7.0
34,133.0,99.0,7.0,7.0
35,120.0,118.0,7.0,7.0
36,137.0,105.0,7.0,7.0
37,97.0,60.0,7.0,7.0
38,180.0,132.0,7.0,7.0
39,167.0,79.0,7.0,7.0
40,130.0,69.0,7.0,6.0
41,148.0,110.0,7.0,7.0
42,135.0,56.0,7.0,6.0
43,160.0,90.0,7.0,6.0
44,163.0,127.0,7.0,7.0
45,127.0,118.0,7.0,7.0
46,110.0,72.0,7.0,7.0
47,132.0,105.0,7.0,7.0
48,16.0,0.0,2.0,0.0
49,25.0,0.0,5.0,0.0
50,3.0,1.0,1.0,1.0
51,33.0,32.0,3.0,5.0
52,3.0,0.0,1.0,0.0
53,7.0,0.0,1.0,0.0
54,5.0,0.0,1.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,15.0,0.0,3.0,0.0
59,3.0,0.0,1.0,0.0
60,8.0,4.0,2.0,1.0
61,42.0,19.0,5.0,4.0
62,0.0,0.0,0.0,0.0
63,13.0,23.0,3.0,6.0
64,30.0,9.0,5.0,1.0
65,0.0,0.0,0.0,0.0
66,1.0,1.0,1.0,1.0
67,17.0,0.0,2.0,0.0
68,6.0,0.0,1.0,0.0
69,35.0,48.0,6.0,7.0
70,10.0,0.0,1.0,0.0
71,33.0,26.0,5.0,5.0
72,51.0,60.0,4.0,5.0
73,107.0,50.0,7.0,6.0
74,84.0,51.0,6.0,4.0
75,104.0,50.0,6.0,4.0
76,64.0,28.0,5.0,2.0
77,47.0,36.0,3.0,3.0
78,27.0,51.0,2.0,5.0
79,88.0,44.0,5.0,4.0
80,71.0,70.0,6.0,5.0
81,77.0,92.0,4.0,6.0
82,106.0,118.0,7.0,7.0
83,20.0,22.0,2.0,2.0
84,129.0,134.0,7.0,7.0
85,143.0,118.0,7.0,7.0
86,64.0,78.0,7.0,7.0
87,145.0,120.0,7.0,7.0
88,121.0,121.0,7.0,7.0
89,94.0,112.0,7.0,7.0
90,121.0,117.0,7.0,7.0
91,123.0,128.0,7.0,7.0
92,109.0,112.0,7.0,7.0
93,98.0,104.0,6.0,7.0
94,129.0,114.0,7.0,7.0
95,137.0,130.0,7.0,7.0
96,41.0,0.0,5.0,0.0
97,16.0,3.0,2.0,3.0
98,39.0,12.0,6.0,2.0
99,47.0,63.0,4.0,6.0
100,42.0,0.0,7.0,0.0
101,31.0,0.0,4.0,0.0
102,25.0,0.0,4.0,0.0
103,30.0,7.0,4.0,2.0
104,2.0,0.0,2.0,0.0
105,20.0,19.0,3.0,7.0
106,50.0,9.0,7.0,3.0
107,0.0,7.0,0.0,1.0
108,72.0,80.0,7.0,7.0
109,88.0,61.0,7.0,7.0
110,22.0,12.0,3.0,5.0
111,51.0,73.0,6.0,7.0
112,59.0,73.0,6.0,7.0
113,75.0,68.0,7.0,7.0
114,69.0,69.0,7.0,7.0
115,55.0,63.0,5.0,7.0
116,41.0,40.0,5.0,7.0
117,52.0,49.0,6.0,5.0
118,60.0,58.0,6.0,5.0
119,84.0,43.0,7.0,6.0
