,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,0.0,0.0,0.0,0.0
1,4.0,0.0,1.0,0.0
2,0.0,0.0,0.0,0.0
3,16.0,0.0,3.0,0.0
4,30.0,12.0,3.0,2.0
5,17.0,8.0,3.0,1.0
6,0.0,0.0,0.0,0.0
7,2.0,0.0,1.0,0.0
8,28.0,0.0,3.0,0.0
9,13.0,0.0,3.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,23.0,34.0,4.0,6.0
13,66.0,22.0,7.0,6.0
14,16.0,5.0,3.0,2.0
15,17.0,0.0,2.0,0.0
16,31.0,13.0,4.0,2.0
17,42.0,7.0,5.0,1.0
18,57.0,3.0,6.0,1.0
19,43.0,28.0,5.0,6.0
20,26.0,29.0,4.0,4.0
21,17.0,8.0,2.0,2.0
22,63.0,5.0,6.0,1.0
23,18.0,15.0,3.0,4.0
24,72.0,72.0,7.0,7.0
25,66.0,64.0,7.0,7.0
26,125.0,109.0,7.0,7.0
27,11.0,2.0,2.0,2.0
28,82.0,72.0,7.0,7.0
29,91.0,72.0,7.0,7.0
30,64.0,58.0,6.0,6.0
31,54.0,65.0,6.0,7.0
32,82.0,63.0,7.0,6.0
33,74.0,85.0,6.0,7.0
34,71.0,72.0,7.0,7.0
35,77.0,78.0,7.0,7.0
36,86.0,73.0,7.0,7.0
37,53.0,46.0,7.0,7.0
38,137.0,103.0,7.0,7.0
39,96.0,61.0,7.0,7.0
40,68.0,67.0,7.0,7.0
41,88.0,46.0,7.0,6.0
42,104.0,49.0,7.0,7.0
43,50.0,54.0,6.0,7.0
44,99.0,57.0,7.0,6.0
45,88.0,64.0,7.0,7.0
46,95.0,56.0,7.0,7.0
47,71.0,74.0,7.0,7.0
48,52.0,82.0,7.0,7.0
49,109.0,94.0,7.0,7.0
50,30.0,9.0,6.0,2.0
51,124.0,124.0,7.0,7.0
52,96.0,95.0,7.0,7.0
53,111.0,100.0,7.0,7.0
54,77.0,65.0,7.0,6.0
55,87.0,75.0,6.0,6.0
56,74.0,67.0,7.0,7.0
57,82.0,23.0,7.0,2.0
58,81.0,59.0,6.0,6.0
59,123.0,82.0,7.0,6.0
60,16.0,29.0,4.0,6.0
61,129.0,103.0,7.0,7.0
62,9.0,6.0,2.0,1.0
63,5.0,33.0,3.0,5.0
64,20.0,40.0,3.0,7.0
65,28.0,29.0,5.0,6.0
66,14.0,27.0,4.0,5.0
67,32.0,1.0,4.0,1.0
68,30.0,41.0,4.0,7.0
69,47.0,5.0,7.0,1.0
70,36.0,41.0,5.0,7.0
71,27.0,24.0,4.0,4.0
72,23.0,34.0,3.0,6.0
73,35.0,51.0,4.0,7.0
74,87.0,130.0,5.0,7.0
75,56.0,73.0,7.0,7.0
76,41.0,57.0,5.0,7.0
77,24.0,56.0,4.0,7.0
78,20.0,49.0,2.0,7.0
79,25.0,41.0,4.0,6.0
80,43.0,46.0,5.0,7.0
81,22.0,58.0,3.0,7.0
82,6.0,30.0,1.0,7.0
83,19.0,71.0,2.0,7.0
84,167.0,142.0,7.0,7.0
85,84.0,76.0,7.0,7.0
86,164.0,131.0,7.0,7.0
87,161.0,163.0,7.0,7.0
88,172.0,140.0,7.0,7.0
89,183.0,160.0,7.0,7.0
90,175.0,151.0,7.0,7.0
91,144.0,166.0,7.0,7.0
92,186.0,160.0,7.0,7.0
93,177.0,167.0,7.0,7.0
94,163.0,139.0,7.0,7.0
95,171.0,131.0,7.0,7.0
96,46.0,0.0,6.0,0.0
97,35.0,4.0,6.0,1.0
98,11.0,0.0,2.0,0.0
99,102.0,54.0,7.0,7.0
100,42.0,0.0,4.0,0.0
101,12.0,5.0,3.0,1.0
102,16.0,0.0,2.0,0.0
103,37.0,0.0,6.0,0.0
104,18.0,0.0,3.0,0.0
105,26.0,0.0,4.0,0.0
106,29.0,0.0,4.0,0.0
107,4.0,0.0,1.0,0.0
108,25.0,29.0,4.0,5.0
109,99.0,38.0,7.0,6.0
110,16.0,0.0,2.0,0.0
111,27.0,48.0,4.0,6.0
112,45.0,9.0,7.0,2.0
113,31.0,31.0,4.0,4.0
114,23.0,38.0,4.0,5.0
115,62.0,34.0,7.0,6.0
116,19.0,12.0,2.0,4.0
117,29.0,25.0,5.0,3.0
118,16.0,30.0,2.0,5.0
119,42.0,15.0,6.0,3.0
