,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,180.0,133.0,7.0,7.0
1,162.0,155.0,7.0,7.0
2,61.0,81.0,7.0,7.0
3,129.0,100.0,7.0,7.0
4,169.0,151.0,7.0,7.0
5,182.0,167.0,7.0,7.0
6,160.0,140.0,7.0,7.0
7,179.0,156.0,7.0,7.0
8,167.0,138.0,7.0,7.0
9,176.0,147.0,7.0,7.0
10,175.0,172.0,7.0,7.0
11,157.0,169.0,7.0,7.0
12,58.0,57.0,7.0,6.0
13,107.0,133.0,7.0,7.0
14,79.0,68.0,7.0,7.0
15,41.0,28.0,6.0,5.0
16,73.0,47.0,7.0,7.0
17,48.0,43.0,7.0,7.0
18,38.0,45.0,6.0,6.0
19,69.0,49.0,7.0,7.0
20,51.0,53.0,6.0,7.0
21,53.0,50.0,6.0,7.0
22,47.0,46.0,7.0,7.0
23,40.0,52.0,6.0,7.0
24,8.0,7.0,2.0,2.0
25,25.0,21.0,4.0,4.0
26,29.0,0.0,5.0,0.0
27,0.0,0.0,0.0,0.0
28,6.0,0.0,1.0,0.0
29,41.0,0.0,6.0,0.0
30,13.0,3.0,2.0,1.0
31,6.0,0.0,2.0,0.0
32,7.0,0.0,1.0,0.0
33,10.0,25.0,1.0,6.0
34,25.0,8.0,4.0,1.0
35,4.0,11.0,1.0,3.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,3.0,0.0,1.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,106.0,123.0,7.0,7.0
49,102.0,106.0,7.0,7.0
50,119.0,106.0,7.0,7.0
51,93.0,85.0,7.0,7.0
52,121.0,94.0,7.0,7.0
53,101.0,81.0,7.0,6.0
54,108.0,130.0,7.0,7.0
55,118.0,118.0,7.0,7.0
56,99.0,116.0,6.0,7.0
57,113.0,92.0,7.0,7.0
58,119.0,119.0,7.0,7.0
59,108.0,110.0,7.0,7.0
60,72.0,88.0,5.0,7.0
61,63.0,47.0,7.0,6.0
62,107.0,83.0,7.0,7.0
63,79.0,61.0,7.0,6.0
64,109.0,58.0,7.0,6.0
65,89.0,67.0,6.0,7.0
66,94.0,61.0,7.0,7.0
67,70.0,47.0,7.0,4.0
68,92.0,81.0,7.0,7.0
69,85.0,56.0,7.0,6.0
70,73.0,59.0,7.0,7.0
71,73.0,75.0,7.0,6.0
72,0.0,7.0,0.0,2.0
73,5.0,3.0,2.0,1.0
74,0.0,26.0,0.0,5.0
75,6.0,8.0,1.0,1.0
76,7.0,19.0,1.0,3.0
77,3.0,7.0,1.0,2.0
78,7.0,8.0,1.0,3.0
79,15.0,0.0,3.0,0.0
80,13.0,15.0,2.0,2.0
81,0.0,45.0,0.0,7.0
82,7.0,8.0,1.0,2.0
83,23.0,10.0,3.0,3.0
84,53.0,34.0,6.0,4.0
85,38.0,33.0,5.0,6.0
86,41.0,0.0,6.0,0.0
87,37.0,40.0,6.0,6.0
88,33.0,39.0,3.0,6.0
89,33.0,51.0,5.0,7.0
90,60.0,44.0,6.0,7.0
91,19.0,44.0,4.0,7.0
92,9.0,28.0,2.0,5.0
93,71.0,39.0,7.0,7.0
94,54.0,54.0,7.0,7.0
95,61.0,32.0,6.0,5.0
96,115.0,117.0,7.0,7.0
97,130.0,131.0,7.0,7.0
98,103.0,100.0,7.0,6.0
99,130.0,120.0,7.0,7.0
100,113.0,128.0,7.0,7.0
101,130.0,108.0,7.0,6.0
102,81.0,112.0,7.0,7.0
103,125.0,87.0,7.0,6.0
104,111.0,102.0,7.0,7.0
105,124.0,122.0,7.0,7.0
106,100.0,83.0,7.0,6.0
107,115.0,77.0,7.0,5.0
108,122.0,149.0,7.0,7.0
109,144.0,87.0,7.0,7.0
110,110.0,139.0,7.0,7.0
111,117.0,138.0,7.0,7.0
112,106.0,110.0,7.0,6.0
113,128.0,95.0,7.0,6.0
114,146.0,106.0,7.0,7.0
115,147.0,124.0,7.0,7.0
116,137.0,106.0,7.0,6.0
117,108.0,131.0,6.0,7.0
118,119.0,122.0,7.0,7.0
119,126.0,119.0,7.0,7.0
