,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
0,0.01,200.0,22.0,3.0,0.0,-999.0
1,0.01,288.8888888888889,48.0,2.0,0.0,-999.0
2,0.01,377.77777777777777,66.0,5.0,40.0,12.0
3,0.01,466.66666666666663,57.0,2.0,30.0,-999.0
4,0.01,555.5555555555555,16.0,33.0,10.0,-999.0
5,0.01,644.4444444444445,54.0,2.0,50.0,3.0
6,0.01,733.3333333333333,30.0,2.0,25.0,5.0
7,0.01,822.2222222222222,53.0,2.0,48.0,6.0
8,0.01,911.1111111111111,52.0,5.0,54.0,2.0
9,0.01,1000.0,56.0,3.0,53.0,3.0
10,0.025555555555555554,200.0,31.0,6.0,0.0,-999.0
11,0.025555555555555554,288.8888888888889,55.0,7.0,0.0,-999.0
12,0.025555555555555554,377.77777777777777,54.0,4.0,46.0,12.0
13,0.025555555555555554,466.66666666666663,59.0,2.0,34.0,13.0
14,0.025555555555555554,555.5555555555555,43.0,3.0,54.0,28.0
15,0.025555555555555554,644.4444444444445,50.0,2.0,50.0,9.0
16,0.025555555555555554,733.3333333333333,31.0,2.0,59.0,12.0
17,0.025555555555555554,822.2222222222222,46.0,2.0,48.0,3.0
18,0.025555555555555554,911.1111111111111,41.0,6.0,51.0,5.0
19,0.025555555555555554,1000.0,57.0,2.0,43.0,19.0
20,0.041111111111111105,200.0,52.0,11.0,30.0,-999.0
21,0.041111111111111105,288.8888888888889,58.0,2.0,18.0,-999.0
22,0.041111111111111105,377.77777777777777,30.0,-999.0,36.0,-999.0
23,0.041111111111111105,466.66666666666663,47.0,2.0,42.0,27.0
24,0.041111111111111105,555.5555555555555,47.0,6.0,24.0,5.0
25,0.041111111111111105,644.4444444444445,69.0,2.0,60.0,2.0
26,0.041111111111111105,733.3333333333333,38.0,3.0,45.0,7.0
27,0.041111111111111105,822.2222222222222,46.0,2.0,44.0,3.0
28,0.041111111111111105,911.1111111111111,49.0,9.0,30.0,59.0
29,0.041111111111111105,1000.0,69.0,2.0,64.0,2.0
30,0.056666666666666664,200.0,39.0,4.0,0.0,-999.0
31,0.056666666666666664,288.8888888888889,60.0,2.0,30.0,27.0
32,0.056666666666666664,377.77777777777777,29.0,2.0,53.0,3.0
33,0.056666666666666664,466.66666666666663,51.0,2.0,50.0,14.0
34,0.056666666666666664,555.5555555555555,62.0,13.0,39.0,234.0
35,0.056666666666666664,644.4444444444445,43.0,15.0,58.0,16.0
36,0.056666666666666664,733.3333333333333,50.0,3.0,45.0,9.0
37,0.056666666666666664,822.2222222222222,57.0,4.0,50.0,3.0
38,0.056666666666666664,911.1111111111111,47.0,2.0,57.0,2.0
39,0.056666666666666664,1000.0,40.0,5.0,33.0,5.0
40,0.07222222222222222,200.0,67.0,6.0,0.0,-999.0
41,0.07222222222222222,288.8888888888889,42.0,2.0,0.0,-999.0
42,0.07222222222222222,377.77777777777777,51.0,2.0,66.0,4.0
43,0.07222222222222222,466.66666666666663,70.0,4.0,49.0,9.0
44,0.07222222222222222,555.5555555555555,41.0,2.0,75.0,11.0
45,0.07222222222222222,644.4444444444445,60.0,1.0,58.0,48.0
46,0.07222222222222222,733.3333333333333,34.0,2.0,49.0,2.0
47,0.07222222222222222,822.2222222222222,53.0,2.0,57.0,2.0
48,0.07222222222222222,911.1111111111111,33.0,2.0,60.0,11.0
49,0.07222222222222222,1000.0,50.0,2.0,61.0,2.0
50,0.08777777777777776,200.0,35.0,2.0,7.0,-999.0
51,0.08777777777777776,288.8888888888889,63.0,2.0,71.0,9.0
52,0.08777777777777776,377.77777777777777,30.0,-999.0,17.0,-999.0
53,0.08777777777777776,466.66666666666663,49.0,2.0,50.0,19.0
54,0.08777777777777776,555.5555555555555,34.0,3.0,52.0,4.0
55,0.08777777777777776,644.4444444444445,39.0,2.0,39.0,5.0
56,0.08777777777777776,733.3333333333333,45.0,2.0,62.0,3.0
57,0.08777777777777776,822.2222222222222,44.0,2.0,53.0,3.0
58,0.08777777777777776,911.1111111111111,43.0,12.0,64.0,3.0
59,0.08777777777777776,1000.0,43.0,2.0,67.0,2.0
60,0.10333333333333332,200.0,45.0,2.0,13.0,-999.0
61,0.10333333333333332,288.8888888888889,31.0,3.0,26.0,-999.0
62,0.10333333333333332,377.77777777777777,43.0,2.0,49.0,15.0
63,0.10333333333333332,466.66666666666663,30.0,-999.0,34.0,-999.0
64,0.10333333333333332,555.5555555555555,55.0,6.0,57.0,18.0
65,0.10333333333333332,644.4444444444445,45.0,3.0,77.0,2.0
66,0.10333333333333332,733.3333333333333,28.0,3.0,62.0,4.0
67,0.10333333333333332,822.2222222222222,43.0,3.0,53.0,4.0
68,0.10333333333333332,911.1111111111111,35.0,2.0,54.0,16.0
69,0.10333333333333332,1000.0,44.0,3.0,55.0,4.0
70,0.11888888888888886,200.0,47.0,4.0,8.0,-999.0
71,0.11888888888888886,288.8888888888889,58.0,2.0,16.0,-999.0
72,0.11888888888888886,377.77777777777777,47.0,3.0,35.0,-999.0
73,0.11888888888888886,466.66666666666663,48.0,2.0,46.0,20.0
74,0.11888888888888886,555.5555555555555,51.0,4.0,61.0,112.0
75,0.11888888888888886,644.4444444444445,55.0,2.0,50.0,6.0
76,0.11888888888888886,733.3333333333333,50.0,9.0,77.0,17.0
77,0.11888888888888886,822.2222222222222,52.0,3.0,49.0,17.0
78,0.11888888888888886,911.1111111111111,43.0,4.0,66.0,5.0
79,0.11888888888888886,1000.0,44.0,9.0,54.0,12.0
80,0.13444444444444442,200.0,28.0,3.0,38.0,29.0
81,0.13444444444444442,288.8888888888889,62.0,2.0,26.0,-999.0
82,0.13444444444444442,377.77777777777777,30.0,-999.0,22.0,-999.0
83,0.13444444444444442,466.66666666666663,47.0,7.0,52.0,7.0
84,0.13444444444444442,555.5555555555555,47.0,11.0,49.0,5.0
85,0.13444444444444442,644.4444444444445,43.0,2.0,65.0,3.0
86,0.13444444444444442,733.3333333333333,32.0,3.0,56.0,3.0
87,0.13444444444444442,822.2222222222222,57.0,2.0,53.0,3.0
88,0.13444444444444442,911.1111111111111,57.0,3.0,39.0,3.0
89,0.13444444444444442,1000.0,52.0,4.0,55.0,2.0
90,0.15,200.0,47.0,2.0,11.0,-999.0
91,0.15,288.8888888888889,56.0,2.0,70.0,10.0
92,0.15,377.77777777777777,34.0,4.0,49.0,8.0
93,0.15,466.66666666666663,52.0,3.0,65.0,2.0
94,0.15,555.5555555555555,43.0,11.0,65.0,8.0
95,0.15,644.4444444444445,61.0,2.0,57.0,6.0
96,0.15,733.3333333333333,40.0,4.0,65.0,16.0
97,0.15,822.2222222222222,59.0,2.0,62.0,2.0
98,0.15,911.1111111111111,31.0,1.0,56.0,9.0
99,0.15,1000.0,52.0,4.0,73.0,8.0
100,0.01,200.0,38.0,3.0,0.0,-999.0
101,0.01,288.8888888888889,72.0,2.0,41.0,32.0
102,0.01,377.77777777777777,47.0,3.0,0.0,-999.0
103,0.01,466.66666666666663,34.0,3.0,9.0,121.0
104,0.01,555.5555555555555,30.0,-999.0,0.0,-999.0
105,0.01,644.4444444444445,54.0,2.0,49.0,9.0
106,0.01,733.3333333333333,50.0,2.0,41.0,34.0
107,0.01,822.2222222222222,57.0,4.0,54.0,229.0
108,0.01,911.1111111111111,49.0,5.0,57.0,20.0
109,0.01,1000.0,66.0,2.0,50.0,2.0
110,0.025555555555555554,200.0,46.0,3.0,9.0,-999.0
111,0.025555555555555554,288.8888888888889,56.0,3.0,43.0,22.0
112,0.025555555555555554,377.77777777777777,55.0,2.0,48.0,23.0
113,0.025555555555555554,466.66666666666663,51.0,1.0,69.0,2.0
114,0.025555555555555554,555.5555555555555,51.0,3.0,14.0,-999.0
115,0.025555555555555554,644.4444444444445,67.0,1.0,48.0,6.0
116,0.025555555555555554,733.3333333333333,30.0,-999.0,50.0,118.0
117,0.025555555555555554,822.2222222222222,62.0,2.0,55.0,9.0
118,0.025555555555555554,911.1111111111111,61.0,2.0,40.0,4.0
119,0.025555555555555554,1000.0,62.0,2.0,35.0,20.0
120,0.041111111111111105,200.0,55.0,2.0,11.0,-999.0
121,0.041111111111111105,288.8888888888889,70.0,3.0,0.0,-999.0
122,0.041111111111111105,377.77777777777777,58.0,2.0,58.0,2.0
123,0.041111111111111105,466.66666666666663,40.0,5.0,60.0,2.0
124,0.041111111111111105,555.5555555555555,62.0,2.0,66.0,9.0
125,0.041111111111111105,644.4444444444445,47.0,6.0,18.0,10.0
126,0.041111111111111105,733.3333333333333,57.0,6.0,58.0,2.0
127,0.041111111111111105,822.2222222222222,56.0,1.0,36.0,34.0
128,0.041111111111111105,911.1111111111111,51.0,2.0,41.0,9.0
129,0.041111111111111105,1000.0,65.0,2.0,63.0,2.0
130,0.056666666666666664,200.0,44.0,3.0,0.0,-999.0
131,0.056666666666666664,288.8888888888889,58.0,2.0,16.0,-999.0
132,0.056666666666666664,377.77777777777777,58.0,2.0,52.0,19.0
133,0.056666666666666664,466.66666666666663,49.0,10.0,5.0,-999.0
134,0.056666666666666664,555.5555555555555,49.0,10.0,37.0,130.0
135,0.056666666666666664,644.4444444444445,67.0,2.0,50.0,3.0
136,0.056666666666666664,733.3333333333333,54.0,2.0,50.0,3.0
137,0.056666666666666664,822.2222222222222,46.0,15.0,53.0,6.0
