,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,28.0,46.0,4.0,7.0
4,0.0,0.0,0.0,0.0
5,0.0,3.0,0.0,1.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,15.0,0.0,5.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,113.0,97.0,7.0,7.0
13,29.0,9.0,5.0,2.0
14,77.0,11.0,6.0,1.0
15,130.0,89.0,7.0,6.0
16,141.0,138.0,7.0,7.0
17,141.0,127.0,7.0,7.0
18,139.0,115.0,7.0,7.0
19,93.0,76.0,7.0,7.0
20,153.0,126.0,7.0,7.0
21,108.0,83.0,7.0,6.0
22,129.0,82.0,7.0,7.0
23,138.0,89.0,7.0,6.0
24,109.0,86.0,7.0,7.0
25,65.0,83.0,4.0,5.0
26,94.0,61.0,7.0,6.0
27,75.0,36.0,7.0,4.0
28,115.0,103.0,7.0,7.0
29,125.0,96.0,7.0,6.0
30,123.0,114.0,7.0,7.0
31,117.0,79.0,7.0,7.0
32,95.0,119.0,7.0,7.0
33,99.0,112.0,6.0,7.0
34,121.0,76.0,7.0,7.0
35,117.0,108.0,7.0,7.0
36,51.0,49.0,6.0,6.0
37,52.0,54.0,6.0,6.0
38,24.0,74.0,3.0,6.0
39,0.0,0.0,0.0,0.0
40,12.0,0.0,2.0,0.0
41,1.0,17.0,1.0,3.0
42,12.0,33.0,1.0,6.0
43,20.0,19.0,4.0,3.0
44,13.0,5.0,3.0,2.0
45,31.0,39.0,4.0,7.0
46,7.0,55.0,1.0,6.0
47,3.0,55.0,1.0,6.0
48,0.0,1.0,0.0,1.0
49,0.0,5.0,0.0,2.0
50,10.0,0.0,2.0,0.0
51,30.0,24.0,4.0,5.0
52,0.0,0.0,0.0,0.0
53,0.0,6.0,0.0,3.0
54,9.0,7.0,1.0,1.0
55,5.0,0.0,1.0,0.0
56,4.0,0.0,2.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,27.0,0.0,6.0,0.0
61,3.0,13.0,1.0,2.0
62,11.0,0.0,3.0,0.0
63,10.0,4.0,1.0,1.0
64,59.0,0.0,6.0,0.0
65,39.0,0.0,6.0,0.0
66,20.0,18.0,5.0,2.0
67,23.0,0.0,3.0,0.0
68,14.0,33.0,2.0,4.0
69,18.0,4.0,3.0,1.0
70,42.0,5.0,5.0,1.0
71,62.0,5.0,7.0,1.0
72,115.0,118.0,7.0,7.0
73,94.0,115.0,7.0,7.0
74,52.0,41.0,6.0,7.0
75,134.0,131.0,7.0,7.0
76,100.0,109.0,7.0,7.0
77,127.0,110.0,7.0,7.0
78,126.0,116.0,7.0,7.0
79,111.0,115.0,7.0,7.0
80,100.0,123.0,7.0,7.0
81,122.0,112.0,7.0,7.0
82,127.0,113.0,7.0,7.0
83,119.0,105.0,7.0,7.0
84,30.0,34.0,5.0,6.0
85,131.0,122.0,7.0,7.0
86,3.0,37.0,1.0,6.0
87,33.0,36.0,6.0,6.0
88,12.0,51.0,3.0,7.0
89,34.0,34.0,4.0,6.0
90,25.0,48.0,5.0,7.0
91,38.0,52.0,6.0,7.0
92,40.0,46.0,7.0,6.0
93,43.0,43.0,7.0,7.0
94,22.0,53.0,5.0,7.0
95,42.0,36.0,6.0,7.0
96,24.0,0.0,5.0,0.0
97,10.0,0.0,1.0,0.0
98,41.0,0.0,7.0,0.0
99,32.0,0.0,5.0,0.0
100,33.0,0.0,6.0,0.0
101,3.0,0.0,1.0,0.0
102,16.0,0.0,2.0,0.0
103,7.0,0.0,2.0,0.0
104,0.0,0.0,0.0,0.0
105,4.0,0.0,1.0,0.0
106,12.0,0.0,1.0,0.0
107,2.0,0.0,1.0,0.0
108,104.0,84.0,7.0,7.0
109,17.0,35.0,3.0,7.0
110,36.0,36.0,6.0,6.0
111,27.0,4.0,4.0,1.0
112,86.0,84.0,7.0,7.0
113,94.0,58.0,7.0,7.0
114,113.0,77.0,7.0,5.0
115,131.0,58.0,7.0,4.0
116,66.0,81.0,6.0,7.0
117,98.0,73.0,7.0,7.0
118,81.0,61.0,6.0,7.0
119,78.0,81.0,6.0,7.0
