,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor,mean_newts_buffer,mean_ponds_buffer,mean_newts_corridor,mean_ponds_corridor
0,29.0,0.0,4.0,0.0,29.0,4.0,7.0,1.3636363636363635
1,9.0,0.0,2.0,0.0,14.636363636363637,2.6363636363636362,3.6363636363636362,0.6363636363636364
2,18.0,0.0,4.0,0.0,18.545454545454547,3.909090909090909,3.6363636363636362,0.6363636363636364
3,12.0,0.0,2.0,0.0,9.272727272727273,2.0,4.2727272727272725,1.0
4,21.0,0.0,5.0,0.0,28.09090909090909,4.909090909090909,4.545454545454546,0.9090909090909091
5,19.0,0.0,2.0,0.0,15.454545454545455,2.090909090909091,3.6363636363636362,0.6363636363636364
6,29.0,8.0,4.0,1.0,24.545454545454547,4.545454545454546,9.454545454545455,1.5454545454545454
7,21.0,0.0,3.0,0.0,25.636363636363637,4.363636363636363,4.363636363636363,0.8181818181818182
8,9.0,0.0,2.0,0.0,18.363636363636363,2.5454545454545454,3.6363636363636362,0.6363636363636364
9,19.0,0.0,4.0,0.0,19.454545454545453,3.272727272727273,3.727272727272727,0.7272727272727273
10,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,3.8181818181818183,0.7272727272727273
11,9.0,6.0,1.0,1.0,6.7272727272727275,1.2727272727272727,8.363636363636363,1.5454545454545454
12,14.0,0.0,2.0,0.0,12.545454545454545,3.272727272727273,3.6363636363636362,0.6363636363636364
13,11.0,0.0,3.0,0.0,14.181818181818182,3.272727272727273,3.6363636363636362,0.6363636363636364
14,9.0,6.0,2.0,1.0,11.181818181818182,2.0,8.818181818181818,2.090909090909091
15,0.0,6.0,0.0,1.0,3.0,0.8181818181818182,6.0,1.8181818181818181
16,30.0,0.0,4.0,0.0,25.0,3.272727272727273,4.090909090909091,0.9090909090909091
17,16.0,0.0,3.0,0.0,19.727272727272727,3.0,10.636363636363637,2.272727272727273
18,126.0,120.0,7.0,7.0,124.0909090909091,7.0,112.81818181818181,7.0
19,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
20,24.0,0.0,5.0,0.0,35.0,6.181818181818182,3.6363636363636362,0.6363636363636364
21,22.0,14.0,4.0,5.0,20.727272727272727,3.8181818181818183,20.636363636363637,4.7272727272727275
22,11.0,4.0,3.0,2.0,19.90909090909091,3.0,15.090909090909092,2.4545454545454546
23,23.0,10.0,4.0,2.0,26.636363636363637,4.0,15.0,3.0
24,118.0,116.0,7.0,7.0,112.0909090909091,7.0,110.0,7.0
25,17.0,0.0,3.0,0.0,15.818181818181818,2.3636363636363638,3.6363636363636362,0.6363636363636364
26,119.0,104.0,7.0,7.0,117.9090909090909,7.0,107.9090909090909,7.0
27,110.0,99.0,7.0,7.0,109.0,7.0,106.72727272727273,7.0
28,104.0,89.0,7.0,7.0,117.72727272727273,7.0,100.45454545454545,7.0
29,125.0,105.0,7.0,7.0,117.18181818181819,7.0,81.72727272727273,7.0
30,118.0,109.0,7.0,7.0,115.9090909090909,7.0,110.27272727272727,7.0
31,114.0,104.0,7.0,7.0,112.72727272727273,7.0,97.45454545454545,7.0
32,154.0,91.0,7.0,7.0,154.9090909090909,7.0,113.9090909090909,7.0
