,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor,mean_newts_buffer,mean_ponds_buffer,mean_newts_corridor,mean_ponds_corridor
0,9.0,14.0,3.0,3.0,14.363636363636363,3.0,17.363636363636363,3.5454545454545454
1,66.0,48.0,6.0,6.0,57.09090909090909,6.0,36.90909090909091,5.636363636363637
2,15.0,2.0,4.0,1.0,17.454545454545453,4.0,8.818181818181818,1.5454545454545454
3,29.0,12.0,5.0,2.0,25.90909090909091,5.2727272727272725,15.909090909090908,3.272727272727273
4,10.0,0.0,2.0,0.0,11.545454545454545,2.0,3.6363636363636362,0.6363636363636364
5,8.0,7.0,2.0,1.0,11.0,2.0,8.909090909090908,1.5454545454545454
6,14.0,21.0,3.0,4.0,12.0,2.5454545454545454,20.545454545454547,4.2727272727272725
7,4.0,7.0,1.0,2.0,9.181818181818182,1.7272727272727273,15.727272727272727,3.3636363636363638
8,35.0,1.0,6.0,1.0,24.454545454545453,5.0,8.818181818181818,1.7272727272727273
9,61.0,15.0,7.0,2.0,67.36363636363636,7.0,14.545454545454545,2.8181818181818183
10,67.0,32.0,7.0,4.0,60.27272727272727,7.0,30.90909090909091,6.0
11,50.0,22.0,7.0,4.0,52.63636363636363,6.7272727272727275,27.90909090909091,4.090909090909091
12,70.0,54.0,7.0,6.0,70.54545454545455,7.0,43.90909090909091,6.0
13,50.0,15.0,6.0,3.0,52.90909090909091,6.0,20.818181818181817,3.3636363636363638
14,42.0,0.0,6.0,0.0,51.18181818181818,6.454545454545454,3.8181818181818183,0.7272727272727273
15,43.0,15.0,6.0,2.0,50.54545454545455,6.181818181818182,15.272727272727273,2.727272727272727
16,32.0,0.0,4.0,0.0,33.27272727272727,4.363636363636363,3.6363636363636362,0.6363636363636364
17,70.0,0.0,7.0,0.0,85.54545454545455,7.0,5.181818181818182,1.1818181818181819
18,44.0,0.0,7.0,0.0,55.36363636363637,7.0,3.6363636363636362,0.6363636363636364
19,46.0,0.0,6.0,0.0,42.81818181818182,5.636363636363637,3.6363636363636362,0.6363636363636364
20,16.0,0.0,3.0,0.0,15.181818181818182,3.272727272727273,3.6363636363636362,0.6363636363636364
21,48.0,0.0,6.0,0.0,62.63636363636363,6.090909090909091,3.6363636363636362,0.6363636363636364
22,30.0,0.0,4.0,0.0,42.27272727272727,4.0,3.6363636363636362,0.6363636363636364
23,67.0,0.0,6.0,0.0,58.45454545454545,6.0,3.6363636363636362,0.6363636363636364
24,0.0,6.0,0.0,1.0,0.0,0.0,7.090909090909091,1.5454545454545454
25,5.0,0.0,1.0,0.0,9.0,1.0,3.6363636363636362,0.6363636363636364
26,9.0,0.0,3.0,0.0,8.181818181818182,2.6363636363636362,3.6363636363636362,0.6363636363636364
27,22.0,0.0,5.0,0.0,25.454545454545453,5.0,3.6363636363636362,0.6363636363636364
28,9.0,0.0,3.0,0.0,20.363636363636363,3.4545454545454546,3.6363636363636362,0.6363636363636364
29,0.0,0.0,0.0,0.0,0.9090909090909091,0.2727272727272727,3.6363636363636362,0.6363636363636364
30,4.0,0.0,1.0,0.0,8.090909090909092,1.0,3.6363636363636362,0.6363636363636364
31,0.0,0.0,0.0,0.0,0.0,0.0,5.090909090909091,1.1818181818181819
32,127.0,158.0,7.0,7.0,146.72727272727272,7.0,136.1818181818182,7.0
33,117.0,104.0,7.0,7.0,111.63636363636364,7.0,109.0,7.0
34,76.0,86.0,7.0,7.0,76.36363636363636,7.0,78.45454545454545,7.0
35,151.0,132.0,7.0,7.0,135.0,7.0,121.36363636363636,7.0
36,147.0,137.0,7.0,7.0,143.27272727272728,7.0,134.0,7.0
37,144.0,133.0,7.0,7.0,146.63636363636363,7.0,118.81818181818181,7.0
38,157.0,130.0,7.0,7.0,147.45454545454547,7.0,138.8181818181818,7.0
39,152.0,147.0,7.0,7.0,145.45454545454547,7.0,133.1818181818182,7.0
40,33.0,18.0,6.0,2.0,42.36363636363637,5.090909090909091,20.454545454545453,3.272727272727273
41,101.0,94.0,7.0,7.0,105.72727272727273,7.0,90.18181818181819,7.0
42,54.0,30.0,6.0,3.0,50.81818181818182,6.363636363636363,29.0,3.8181818181818183
43,13.0,14.0,2.0,3.0,10.545454545454545,2.0,23.0,4.090909090909091
44,23.0,11.0,3.0,1.0,18.545454545454547,2.272727272727273,19.818181818181817,2.4545454545454546
45,47.0,18.0,6.0,3.0,42.27272727272727,6.181818181818182,23.454545454545453,4.2727272727272725
46,0.0,1.0,0.0,1.0,0.0,0.0,7.545454545454546,1.5454545454545454
47,35.0,10.0,4.0,2.0,27.454545454545453,3.3636363636363638,18.727272727272727,2.8181818181818183
48,13.0,8.0,3.0,2.0,17.363636363636363,3.090909090909091,16.363636363636363,2.909090909090909
49,25.0,0.0,5.0,0.0,24.181818181818183,5.0,3.6363636363636362,0.6363636363636364
50,51.0,34.0,6.0,5.0,51.63636363636363,6.545454545454546,38.18181818181818,5.818181818181818
51,55.0,5.0,7.0,1.0,48.27272727272727,6.2727272727272725,11.363636363636363,1.5454545454545454
52,25.0,0.0,5.0,0.0,35.18181818181818,5.454545454545454,11.545454545454545,1.7272727272727273
53,9.0,22.0,3.0,3.0,20.363636363636363,3.272727272727273,15.818181818181818,3.3636363636363638
54,21.0,0.0,3.0,0.0,31.454545454545453,4.363636363636363,5.818181818181818,1.0
55,52.0,9.0,7.0,4.0,44.54545454545455,6.818181818181818,26.0,5.2727272727272725
56,49.0,57.0,5.0,6.0,52.18181818181818,5.0,56.36363636363637,6.090909090909091
57,18.0,1.0,3.0,1.0,14.181818181818182,3.0,7.545454545454546,1.5454545454545454
58,36.0,38.0,7.0,6.0,38.36363636363637,7.0,35.45454545454545,6.090909090909091
59,45.0,34.0,7.0,5.0,32.81818181818182,6.181818181818182,28.363636363636363,5.090909090909091
60,12.0,15.0,2.0,3.0,14.181818181818182,2.0,17.363636363636363,3.4545454545454546
61,39.0,20.0,6.0,4.0,37.90909090909091,6.0,32.54545454545455,6.2727272727272725
62,31.0,15.0,5.0,4.0,31.727272727272727,5.0,23.636363636363637,4.2727272727272725
63,47.0,13.0,7.0,3.0,43.81818181818182,7.0,20.727272727272727,3.3636363636363638
64,87.0,43.0,7.0,3.0,86.0909090909091,7.0,38.45454545454545,3.909090909090909
65,105.0,51.0,7.0,6.0,104.54545454545455,7.0,69.72727272727273,6.090909090909091
66,36.0,0.0,4.0,0.0,36.81818181818182,4.636363636363637,7.454545454545454,1.3636363636363635
