"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"scenarios"
"09/23/2021 22:58:44:593 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"57","30","0.45","0","50","300","5","1","2.5","corridors","0.18","100","36","5","6","7","3","9","0","11","0"
"62","30","0.45","0","50","350","5","1","2.5","buffers","0.18","100","10","1","0","0","0","0","0","0","10"
"64","30","0.45","0","50","350","5","1","2.5","buffers","0.18","100","15","2","0","0","10","5","0","0","0"
"58","30","0.45","0","50","300","5","1","2.5","corridors","0.18","100","21","5","0","8","3","3","0","4","3"
"61","30","0.45","0","50","350","5","1","2.5","buffers","0.18","100","10","3","0","4","0","4","0","2","0"
"63","30","0.45","0","50","350","5","1","2.5","buffers","0.18","100","21","3","7","0","0","0","10","4","0"
"59","30","0.45","0","50","300","5","1","2.5","corridors","0.18","100","38","4","0","13","9","0","4","12","0"
"65","30","0.45","0","50","350","5","1","2.5","buffers","0.18","100","10","3","0","6","0","0","1","3","0"
"66","30","0.45","0","50","350","5","1","2.5","corridors","0.18","100","30","4","0","16","7","0","2","5","0"
"68","30","0.45","0","50","350","5","1","2.5","corridors","0.18","100","30","4","8","13","0","0","1","8","0"
"67","30","0.45","0","50","350","5","1","2.5","corridors","0.18","100","18","3","7","0","0","10","1","0","0"
"60","30","0.45","0","50","300","5","1","2.5","corridors","0.18","100","48","5","0","14","0","6","4","7","17"
"70","30","0.45","0","50","350","5","1","2.5","corridors","0.18","100","18","3","0","6","4","0","8","0","0"
"74","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","28","4","0","0","0","4","4","11","9"
"71","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","23","4","0","11","0","0","1","8","3"
"69","30","0.45","0","50","350","5","1","2.5","corridors","0.18","100","6","3","0","2","3","0","0","0","1"
"72","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","29","3","0","0","10","0","11","8","0"
"73","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","49","5","0","2","7","0","16","17","7"
"75","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","27","2","8","0","0","0","0","19","0"
"76","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","41","5","0","12","12","6","0","4","7"
"78","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","66","5","0","17","9","10","0","10","20"
"79","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","37","5","0","9","3","4","0","11","10"
"77","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","34","4","0","7","7","0","4","16","0"
"81","30","0.45","0","50","450","5","1","2.5","buffers","0.18","100","20","3","17","0","0","0","2","1","0"
"80","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","22","2","9","0","0","13","0","0","0"
