"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"energy"
"09/23/2021 22:32:47:420 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"61","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","24","3","0","0","4","0","4","16","0"
"62","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","14","3","0","11","2","0","0","1","0"
"55","30","0.45","0.1","50","300","5","1","2.5","buffers","0.18","100","68","6","0","8","13","13","12","13","9"
"63","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","14","1","0","0","0","14","0","0","0"
"59","30","0.45","0.1","50","300","5","1","2.5","buffers","0.18","100","34","4","0","7","9","0","0","10","8"
"58","30","0.45","0.1","50","300","5","1","2.5","buffers","0.18","100","79","6","7","19","0","15","11","8","19"
"56","30","0.45","0.1","50","300","5","1","2.5","buffers","0.18","100","64","6","7","21","0","5","7","13","11"
"66","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","47","5","0","11","2","9","0","11","14"
"64","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","26","4","0","0","3","0","5","9","9"
"65","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","38","4","0","7","13","12","0","0","6"
"60","30","0.45","0.1","50","300","5","1","2.5","buffers","0.18","100","54","6","10","4","4","12","11","13","0"
"70","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","18","3","8","0","0","0","1","9","0"
"57","30","0.45","0.1","50","300","5","1","2.5","buffers","0.18","100","47","5","0","0","6","12","5","12","12"
"68","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","19","4","0","6","3","0","0","2","8"
"67","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","34","4","0","10","4","0","0","11","9"
"69","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","16","3","0","3","11","0","0","0","2"
"71","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","18","3","0","5","1","0","0","12","0"
"72","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","29","3","0","11","14","0","0","4","0"
"77","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","9","2","0","7","0","0","0","2","0"
"76","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","6","2","0","0","0","2","4","0","0"
"75","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","44","4","0","11","0","11","0","15","7"
"73","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","30","4","0","14","4","0","6","0","6"
"74","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","33","4","3","14","7","9","0","0","0"
"80","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","41","5","0","18","7","3","0","8","5"
"78","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","24","3","12","0","0","8","0","0","4"
"79","30","0.45","0.1","50","300","5","1","2.5","corridors","0.18","100","20","4","10","2","0","0","3","5","0"
"81","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","53","4","0","16","18","0","13","6","0"
"84","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","39","4","0","11","0","0","11","12","5"
"82","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","38","6","8","8","0","7","6","7","2"
"83","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","74","6","3","21","10","0","8","17","15"
"87","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","68","5","0","14","4","19","13","18","0"
"89","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","66","5","0","6","9","10","20","21","0"
"85","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","71","6","9","0","20","13","9","14","6"
"86","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","83","6","7","13","0","18","13","18","14"
"88","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","46","4","0","0","9","0","8","23","6"
"90","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","69","7","4","16","5","20","5","14","5"
"91","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","50","5","2","11","0","0","13","13","11"
"92","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","43","5","0","17","0","7","6","8","5"
"93","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","57","4","0","23","0","0","12","13","9"
"98","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","54","5","12","8","12","0","7","15","0"
"101","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","44","4","0","14","6","13","11","0","0"
"94","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","64","6","17","7","0","11","4","14","11"
"102","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","23","4","0","3","12","0","2","6","0"
"95","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","58","4","0","12","0","16","0","12","18"
"97","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","57","6","4","13","7","0","10","16","7"
"104","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","26","4","3","16","6","0","0","1","0"
"103","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","30","3","10","15","5","0","0","0","0"
"99","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","51","5","11","15","0","0","6","12","7"
"105","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","30","4","0","0","14","8","0","1","7"
"96","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","47","6","12","1","1","0","15","8","10"
"100","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","39","4","0","14","0","14","5","6","0"
"107","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","31","3","0","13","17","0","1","0","0"
"106","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","26","5","2","0","10","4","7","3","0"
"109","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","27","5","7","4","1","0","5","10","0"
"108","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","49","6","6","17","3","0","5","11","7"
"110","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","39","4","0","17","6","0","0","5","11"
"114","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","19","3","0","3","15","0","0","1","0"
"112","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","56","6","5","11","9","0","8","17","6"
"113","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","37","5","3","12","5","0","10","7","0"
"111","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","55","6","0","2","7","19","6","10","11"
"117","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","50","5","0","13","15","0","6","10","6"
"115","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","24","5","0","5","2","7","4","6","0"
"116","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","29","4","0","5","0","11","0","6","7"
"119","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","30","4","0","7","0","0","9","7","7"
"118","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","26","4","0","13","6","0","3","4","0"
"120","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","62","6","13","15","9","0","10","5","10"
"121","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","49","7","14","5","5","9","5","10","1"
"122","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","72","7","12","10","3","8","13","9","17"
"126","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","79","7","11","13","17","12","7","8","11"
"123","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","71","7","4","18","12","13","12","3","9"
"125","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","66","7","9","8","15","5","4","5","20"
"127","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","72","7","3","8","5","14","18","21","3"
"130","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","82","7","19","14","12","7","7","8","15"
"124","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","105","7","15","17","13","13","11","16","20"
"128","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","56","6","5","9","15","0","9","7","11"
"129","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","83","7","18","10","11","10","15","4","15"
"131","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","66","7","5","9","10","9","13","17","3"
"132","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","68","7","9","9","11","12","11","4","12"
"141","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","49","7","6","10","17","1","3","8","4"
"134","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","53","7","6","9","12","5","4","13","4"
"133","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","84","7","20","13","8","10","7","9","17"
"144","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","54","6","1","15","6","0","12","5","15"
