,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
0,0.08777777777777776,200.0,54.0,8.0,42.0,-999.0
1,0.08777777777777776,288.8888888888889,74.0,2.0,58.0,-999.0
2,0.08777777777777776,377.77777777777777,50.0,2.0,54.0,-999.0
3,0.08777777777777776,466.66666666666663,47.0,2.0,56.0,2.0
4,0.08777777777777776,555.5555555555555,62.0,2.0,44.0,15.0
5,0.08777777777777776,644.4444444444445,46.0,5.0,46.0,12.0
6,0.08777777777777776,733.3333333333333,47.0,2.0,57.0,8.0
7,0.08777777777777776,822.2222222222222,38.0,3.0,39.0,-999.0
8,0.08777777777777776,911.1111111111111,48.0,2.0,49.0,5.0
9,0.08777777777777776,1000.0,46.0,3.0,68.0,4.0
10,0.10333333333333332,200.0,42.0,4.0,25.0,36.0
11,0.10333333333333332,288.8888888888889,52.0,2.0,35.0,-999.0
12,0.10333333333333332,377.77777777777777,43.0,3.0,45.0,-999.0
13,0.10333333333333332,466.66666666666663,53.0,2.0,53.0,3.0
14,0.10333333333333332,555.5555555555555,61.0,2.0,45.0,3.0
15,0.10333333333333332,644.4444444444445,65.0,4.0,59.0,9.0
16,0.10333333333333332,733.3333333333333,34.0,4.0,46.0,3.0
17,0.10333333333333332,822.2222222222222,51.0,2.0,48.0,3.0
18,0.10333333333333332,911.1111111111111,42.0,2.0,41.0,3.0
19,0.10333333333333332,1000.0,47.0,3.0,63.0,10.0
20,0.11888888888888886,200.0,43.0,2.0,63.0,-999.0
21,0.11888888888888886,288.8888888888889,54.0,2.0,43.0,-999.0
22,0.11888888888888886,377.77777777777777,67.0,2.0,37.0,5.0
23,0.11888888888888886,466.66666666666663,67.0,5.0,58.0,-999.0
24,0.11888888888888886,555.5555555555555,39.0,2.0,62.0,2.0
25,0.11888888888888886,644.4444444444445,53.0,4.0,70.0,5.0
26,0.11888888888888886,733.3333333333333,51.0,2.0,53.0,6.0
27,0.11888888888888886,822.2222222222222,57.0,2.0,64.0,6.0
28,0.11888888888888886,911.1111111111111,57.0,2.0,36.0,3.0
29,0.11888888888888886,1000.0,60.0,2.0,41.0,3.0
30,0.13444444444444442,200.0,44.0,7.0,55.0,-999.0
31,0.13444444444444442,288.8888888888889,41.0,7.0,63.0,-999.0
32,0.13444444444444442,377.77777777777777,55.0,2.0,48.0,2.0
33,0.13444444444444442,466.66666666666663,41.0,-999.0,47.0,-999.0
34,0.13444444444444442,555.5555555555555,39.0,-999.0,35.0,-999.0
35,0.13444444444444442,644.4444444444445,64.0,2.0,60.0,26.0
36,0.13444444444444442,733.3333333333333,42.0,4.0,55.0,2.0
37,0.13444444444444442,822.2222222222222,58.0,2.0,67.0,2.0
38,0.13444444444444442,911.1111111111111,55.0,2.0,72.0,8.0
39,0.13444444444444442,1000.0,66.0,2.0,56.0,3.0
40,0.15,200.0,56.0,2.0,47.0,-999.0
