,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
0,0.01,200.0,50.0,12.0,31.0,33.0
1,0.01,288.8888888888889,69.0,2.0,39.0,-999.0
2,0.01,377.77777777777777,57.0,-999.0,46.0,-999.0
3,0.01,466.66666666666663,45.0,2.0,40.0,-999.0
4,0.01,555.5555555555555,60.0,2.0,60.0,2.0
5,0.01,644.4444444444445,56.0,5.0,42.0,33.0
6,0.01,733.3333333333333,43.0,2.0,42.0,27.0
7,0.01,822.2222222222222,73.0,5.0,49.0,2.0
8,0.01,911.1111111111111,61.0,7.0,21.0,16.0
9,0.01,1000.0,53.0,2.0,46.0,17.0
10,0.025555555555555554,200.0,46.0,3.0,27.0,-999.0
11,0.025555555555555554,288.8888888888889,36.0,-999.0,37.0,-999.0
12,0.025555555555555554,377.77777777777777,24.0,3.0,35.0,18.0
13,0.025555555555555554,466.66666666666663,63.0,2.0,39.0,4.0
14,0.025555555555555554,555.5555555555555,49.0,2.0,49.0,2.0
15,0.025555555555555554,644.4444444444445,48.0,3.0,41.0,2.0
16,0.025555555555555554,733.3333333333333,50.0,3.0,66.0,2.0
17,0.025555555555555554,822.2222222222222,46.0,2.0,46.0,2.0
18,0.025555555555555554,911.1111111111111,35.0,2.0,46.0,3.0
19,0.025555555555555554,1000.0,57.0,2.0,55.0,2.0
20,0.041111111111111105,200.0,59.0,2.0,30.0,-999.0
21,0.041111111111111105,288.8888888888889,60.0,2.0,35.0,-999.0
22,0.041111111111111105,377.77777777777777,38.0,2.0,53.0,25.0
23,0.041111111111111105,466.66666666666663,43.0,5.0,47.0,29.0
24,0.041111111111111105,555.5555555555555,38.0,7.0,57.0,1.0
25,0.041111111111111105,644.4444444444445,57.0,2.0,24.0,21.0
26,0.041111111111111105,733.3333333333333,51.0,3.0,52.0,3.0
27,0.041111111111111105,822.2222222222222,40.0,-999.0,45.0,-999.0
28,0.041111111111111105,911.1111111111111,59.0,7.0,46.0,6.0
29,0.041111111111111105,1000.0,55.0,1.0,36.0,5.0
30,0.056666666666666664,200.0,41.0,9.0,26.0,-999.0
31,0.056666666666666664,288.8888888888889,48.0,2.0,22.0,-999.0
32,0.056666666666666664,377.77777777777777,40.0,-999.0,45.0,-999.0
33,0.056666666666666664,466.66666666666663,49.0,-999.0,63.0,1.0
34,0.056666666666666664,555.5555555555555,34.0,3.0,55.0,9.0
35,0.056666666666666664,644.4444444444445,58.0,2.0,60.0,4.0
36,0.056666666666666664,733.3333333333333,35.0,5.0,23.0,-999.0
37,0.056666666666666664,822.2222222222222,56.0,2.0,61.0,5.0
38,0.056666666666666664,911.1111111111111,68.0,2.0,61.0,4.0
39,0.056666666666666664,1000.0,59.0,1.0,41.0,7.0
40,0.07222222222222222,200.0,51.0,10.0,40.0,-999.0
41,0.07222222222222222,288.8888888888889,56.0,2.0,50.0,-999.0
42,0.07222222222222222,377.77777777777777,56.0,5.0,46.0,-999.0
43,0.07222222222222222,466.66666666666663,54.0,-999.0,24.0,-999.0
44,0.07222222222222222,555.5555555555555,35.0,2.0,38.0,22.0
45,0.07222222222222222,644.4444444444445,39.0,4.0,52.0,11.0
46,0.07222222222222222,733.3333333333333,58.0,2.0,58.0,3.0
47,0.07222222222222222,822.2222222222222,49.0,2.0,62.0,8.0
48,0.07222222222222222,911.1111111111111,54.0,9.0,64.0,6.0
49,0.07222222222222222,1000.0,65.0,2.0,55.0,2.0
50,0.08777777777777776,200.0,51.0,3.0,33.0,-999.0
51,0.08777777777777776,288.8888888888889,75.0,2.0,48.0,-999.0
52,0.08777777777777776,377.77777777777777,56.0,3.0,52.0,6.0
53,0.08777777777777776,466.66666666666663,59.0,2.0,73.0,5.0
54,0.08777777777777776,555.5555555555555,37.0,2.0,44.0,12.0
55,0.08777777777777776,644.4444444444445,48.0,4.0,63.0,11.0
56,0.08777777777777776,733.3333333333333,66.0,2.0,48.0,4.0
57,0.08777777777777776,822.2222222222222,49.0,3.0,60.0,2.0
58,0.08777777777777776,911.1111111111111,50.0,2.0,52.0,4.0
59,0.08777777777777776,1000.0,56.0,4.0,59.0,3.0
60,0.10333333333333332,200.0,48.0,9.0,51.0,-999.0
61,0.10333333333333332,288.8888888888889,61.0,2.0,44.0,-999.0
62,0.10333333333333332,377.77777777777777,69.0,1.0,51.0,-999.0
63,0.10333333333333332,466.66666666666663,56.0,2.0,61.0,46.0
64,0.10333333333333332,555.5555555555555,55.0,-999.0,36.0,-999.0
65,0.10333333333333332,644.4444444444445,53.0,3.0,57.0,4.0
66,0.10333333333333332,733.3333333333333,30.0,2.0,56.0,2.0
67,0.10333333333333332,822.2222222222222,47.0,2.0,78.0,5.0
68,0.10333333333333332,911.1111111111111,69.0,2.0,57.0,11.0
69,0.10333333333333332,1000.0,55.0,3.0,55.0,7.0
70,0.11888888888888886,200.0,51.0,2.0,27.0,-999.0
71,0.11888888888888886,288.8888888888889,51.0,2.0,52.0,-999.0
72,0.11888888888888886,377.77777777777777,57.0,2.0,33.0,17.0
73,0.11888888888888886,466.66666666666663,59.0,5.0,37.0,-999.0
74,0.11888888888888886,555.5555555555555,59.0,2.0,68.0,5.0
75,0.11888888888888886,644.4444444444445,50.0,10.0,68.0,3.0
76,0.11888888888888886,733.3333333333333,46.0,3.0,58.0,2.0
77,0.11888888888888886,822.2222222222222,69.0,2.0,65.0,2.0
78,0.11888888888888886,911.1111111111111,72.0,1.0,66.0,7.0
79,0.11888888888888886,1000.0,51.0,5.0,61.0,6.0
80,0.13444444444444442,200.0,43.0,7.0,36.0,-999.0
81,0.13444444444444442,288.8888888888889,44.0,2.0,69.0,16.0
82,0.13444444444444442,377.77777777777777,64.0,2.0,56.0,8.0
83,0.13444444444444442,466.66666666666663,59.0,1.0,61.0,7.0
84,0.13444444444444442,555.5555555555555,48.0,8.0,80.0,13.0
85,0.13444444444444442,644.4444444444445,62.0,2.0,61.0,1.0
86,0.13444444444444442,733.3333333333333,51.0,2.0,59.0,-999.0
